institution_name,term_year,term_semester,student_type,is_international,origin_source_first,student_state,program_level,program_name,event_year,event_month,event_month_name,total_prospects,total_inquiries,total_app_starts,total_app_submits,total_admits,total_deposits,total_net_deposits,total_enrolled
Central Washington University,2024,Fall,Transfer,false,Royall,WA,,education exploring areas,2018,11,Nov,1,0,0,0,0,0,0,0
Central Washington University,2024,Fall,Transfer,false,Royall,WA,,construction management,2018,11,Nov,1,0,0,0,0,0,0,0
Central Washington University,2024,Fall,First Year,false,College Fair,,,business administration bsba supply chain management,2018,11,Nov,0,1,0,0,0,0,0,0
Central Washington University,2024,Fall,First Year,false,RFI Forms - All,WA,,law and justice,2018,11,Nov,0,1,0,0,0,0,0,0
Central Washington University,2024,Fall,First Year,false,Royall,WA,,special education p baed,2018,11,Nov,1,0,0,0,0,0,0,0
Central Washington University,2024,Fall,First Year,false,College Fair,WA,,business administration bsba marketing management,2018,11,Nov,0,1,0,0,0,0,0,0
Central Washington University,2024,Fall,First Year,false,Royall,,,,2018,11,Nov,1,0,0,0,0,0,0,0
Central Washington University,2024,Fall,First Year,false,College Fair,,,,2018,11,Nov,0,11,0,0,0,0,0,0
Central Washington University,2024,Fall,Transfer,false,Royall,,,pre veterinary science,2018,11,Nov,1,0,0,0,0,0,0,0
Central Washington University,2024,Fall,Transfer,false,Royall,WA,,,2018,11,Nov,1,0,0,0,0,0,0,0
Central Washington University,2024,Fall,First Year,false,Royall,WA,,music performance bm percussion wind string,2018,11,Nov,1,0,0,0,0,0,0,0
Central Washington University,2024,Fall,,false,Royall,,,,2018,11,Nov,1,0,0,0,0,0,0,0
Central Washington University,2024,Fall,First Year,false,RFI Forms - All,WA,,pre nursing public health,2018,11,Nov,0,1,0,0,0,0,0,0
Central Washington University,2024,Fall,First Year,false,Royall,CA,,,2018,11,Nov,1,0,0,0,0,0,0,0
Central Washington University,2024,Fall,Other,false,RFI Forms - All,WA,,elementary education baed,2018,11,Nov,0,1,0,0,0,0,0,0
Central Washington University,2024,Fall,Transfer,false,Royall,WA,,history,2018,11,Nov,1,0,0,0,0,0,0,0
Central Washington University,2024,Fall,First Year,false,Royall,WA,,art,2018,11,Nov,1,0,0,0,0,0,0,0
Central Washington University,2024,Fall,Transfer,false,RFI Forms - All,ID,,law and justice,2018,11,Nov,0,1,0,0,0,0,0,0
Central Washington University,2024,Fall,Transfer,false,College Fair,,,early childhood education,2018,11,Nov,0,1,0,0,0,0,0,0
Central Washington University,2024,Fall,Transfer,false,Royall,WA,,aviation pilot,2018,11,Nov,2,0,0,0,0,0,0,0
Central Washington University,2024,Fall,Transfer,false,Royall,,,business administration bsba finance,2018,11,Nov,1,0,0,0,0,0,0,0
Central Washington University,2024,Fall,First Year,false,Royall,FL,,information technology management bas project management,2018,11,Nov,1,0,0,0,0,0,0,0
Central Washington University,2024,Fall,Transfer,false,RFI Forms - All,,,early childhood education,2018,11,Nov,0,1,0,0,0,0,0,0
Central Washington University,2024,Fall,First Year,false,Royall,,,pre nursing public health,2018,11,Nov,1,0,0,0,0,0,0,0
Central Washington University,2024,Fall,Transfer,true,College Fair,WA,,,2018,11,Nov,0,1,0,0,0,0,0,0
Central Washington University,2024,Fall,Transfer,false,Royall,WA,,hospitality tourism and event management hospitality management,2018,11,Nov,1,0,0,0,0,0,0,0
Central Washington University,2024,Fall,Transfer,false,Royall,WA,,physical education and school health,2018,11,Nov,1,0,0,0,0,0,0,0
Central Washington University,2024,Fall,Transfer,false,RFI Forms - All,TN,,,2018,11,Nov,0,1,0,0,0,0,0,0
Central Washington University,2024,Fall,First Year,false,RFI Forms - All,,,,2018,11,Nov,0,3,0,0,0,0,0,0
Central Washington University,2024,Fall,First Year,false,Royall,WA,,music performance bm keyboard,2018,11,Nov,1,0,0,0,0,0,0,0
Central Washington University,2024,Fall,First Year,false,High School Visit,WA,,ems paramedicine,2018,11,Nov,0,1,0,0,0,0,0,0
Central Washington University,2024,Fall,Transfer,false,Royall,,,sport management sport business,2018,11,Nov,1,0,0,0,0,0,0,0
Central Washington University,2024,Fall,First Year,false,RFI Forms - All,WA,,psychology,2018,11,Nov,0,1,0,0,0,0,0,0
Central Washington University,2024,Fall,First Year,false,Studentpaths,WA,,business administration bsba supply chain management,2018,12,Dec,1,0,0,0,0,0,0,0
Central Washington University,2024,Fall,Readmit,false,Studentpaths,WA,,exploring majors,2018,12,Dec,1,0,0,0,0,0,0,0
Central Washington University,2024,Fall,First Year,false,RFI Forms - All,WA,,physical education and school health,2018,12,Dec,0,1,0,0,0,0,0,0
Central Washington University,2024,Fall,First Year,false,RFI Forms - All,WA,,,2018,12,Dec,0,1,0,0,0,0,0,0
Central Washington University,2024,Fall,Transfer,false,Application,WA,,mathematics middle education,2018,12,Dec,0,0,1,1,0,0,0,0
Central Washington University,2024,Fall,Transfer,false,Cappex,WA,,history social teaching,2018,12,Dec,1,0,0,0,0,0,0,0
Central Washington University,2024,Fall,First Year,false,RFI Forms - All,,,,2019,1,Jan,0,1,0,0,0,0,0,0
Central Washington University,2024,Fall,Transfer,false,RFI Forms - All,,,elementary education baed,2019,1,Jan,1,0,0,0,0,0,0,0
Central Washington University,2024,Fall,First Year,false,Application,,,exploring majors,2019,1,Jan,0,0,1,1,0,0,0,0
Central Washington University,2024,Fall,Readmit,false,Application,,,environmental science environmental geology specialization,2019,1,Jan,0,0,1,1,0,0,0,0
Central Washington University,2024,Fall,Transfer,false,Cappex,WA,,business administration bsba leadership and management,2019,1,Jan,1,0,0,0,0,0,0,0
Central Washington University,2024,Fall,First Year,false,RFI Forms - All,,,information technology management bas information technology,2019,1,Jan,0,1,0,0,0,0,0,0
Central Washington University,2024,Fall,Readmit,false,RFI Forms - All,WA,,law and justice,2019,1,Jan,0,1,0,0,0,0,0,0
Central Washington University,2024,Fall,Readmit,false,RFI Forms - All,,,art graphic design,2019,1,Jan,0,1,0,0,0,0,0,0
Central Washington University,2024,Fall,Transfer,false,Application,,,history,2019,1,Jan,0,0,1,1,0,0,0,0
Central Washington University,2024,Fall,Graduate,false,RFI Forms - All,,,,2019,1,Jan,0,1,0,0,0,0,0,0
Central Washington University,2024,Fall,Transfer,false,RFI Forms - All,WA,,computer science,2019,1,Jan,0,1,0,0,0,0,0,0
Central Washington University,2024,Fall,First Year,false,Cappex,,,film,2019,1,Jan,1,0,0,0,0,0,0,0
Central Washington University,2024,Fall,Transfer,false,RFI Forms - All,,,,2019,2,Feb,0,4,0,0,0,0,0,0
Central Washington University,2024,Fall,Transfer,false,Studentpaths,WA,,apparel textiles and merchandising,2019,2,Feb,1,0,0,0,0,0,0,0
Central Washington University,2024,Fall,First Year,true,Royall,WA,,economics economic and business forecasting,2019,2,Feb,1,0,0,0,0,0,0,0
Central Washington University,2024,Fall,First Year,false,Application,WA,,information technology management bas information technology,2019,2,Feb,0,0,1,1,0,0,0,0
Central Washington University,2024,Fall,First Year,false,RFI Forms - All,,,,2019,2,Feb,0,1,0,0,0,0,0,0
Central Washington University,2024,Fall,First Year,false,Cappex,,,,2019,2,Feb,1,1,0,0,0,0,0,0
Central Washington University,2024,Fall,First Year,false,Royall,WA,,english and creative writing,2019,2,Feb,1,0,0,0,0,0,0,0
Central Washington University,2024,Fall,Transfer,false,Royall,WA,,english and creative writing,2019,2,Feb,1,0,0,0,0,0,0,0
Central Washington University,2024,Fall,Transfer,false,Royall,,,,2019,2,Feb,1,0,0,0,0,0,0,0
Central Washington University,2024,Fall,Transfer,false,Application,,,information technology management bas information technology,2019,2,Feb,0,0,1,1,0,0,0,0
Central Washington University,2024,Fall,Transfer,false,Royall,WA,,art education,2019,2,Feb,1,0,0,0,0,0,0,0
Central Washington University,2024,Fall,First Year,false,Royall,WA,,business administration bsba finance,2019,2,Feb,1,0,0,0,0,0,0,0
Central Washington University,2024,Fall,First Year,false,Royall,WA,,elementary education baed,2019,2,Feb,1,0,0,0,0,0,0,0
Central Washington University,2024,Fall,First Year,false,Royall,,,,2019,2,Feb,1,0,0,0,0,0,0,0
Central Washington University,2024,Fall,Adult,false,Royall,,,electrical engineering technology,2019,2,Feb,1,0,0,0,0,0,0,0
Central Washington University,2024,Fall,Transfer,false,RFI Forms - All,,,,2019,3,Mar,0,15,0,0,0,0,0,0
Central Washington University,2024,Fall,Transfer,false,Cappex,WA,,history social teaching,2019,3,Mar,0,1,0,0,0,0,0,0
Central Washington University,2024,Fall,Transfer,false,Application,,,geology,2019,3,Mar,0,0,1,1,0,0,0,0
Central Washington University,2024,Fall,Transfer,false,Application,,,law and justice,2019,3,Mar,0,0,1,1,0,0,0,0
Central Washington University,2024,Fall,Transfer,false,Cappex,WA,,construction management,2019,3,Mar,1,0,0,0,0,0,0,0
Central Washington University,2024,Fall,Transfer,false,Application,WA,,information technology management administrative management,2019,3,Mar,0,0,1,1,0,0,0,0
Central Washington University,2024,Fall,First Year,false,RFI Forms - All,,,,2019,3,Mar,0,3,0,0,0,0,0,0
Central Washington University,2024,Fall,Transfer,false,RFI Forms - All,,,film,2019,3,Mar,0,1,0,0,0,0,0,0
Central Washington University,2024,Fall,First Year,false,RFI Forms - All,WA,,exploring majors,2019,3,Mar,0,1,0,0,0,0,0,0
Central Washington University,2024,Fall,Transfer,false,RFI Forms - All,,,elementary education baed,2019,3,Mar,0,1,0,0,0,0,0,0
Central Washington University,2024,Fall,First Year,false,College Fair,WA,,english language arts teaching,2019,3,Mar,0,1,0,0,0,0,0,0
Central Washington University,2024,Fall,,false,College Fair,,,,2019,4,Apr,0,1,0,0,0,0,0,0
Central Washington University,2024,Fall,First Year,false,RFI Forms - All,,,,2019,4,Apr,0,3,0,0,0,0,0,0
Central Washington University,2024,Fall,Transfer,false,Cappex,WA,,early childhood education,2019,4,Apr,0,1,0,0,0,0,0,0
Central Washington University,2024,Fall,First Year,false,College Fair,,,,2019,4,Apr,0,3,0,0,0,0,0,0
Central Washington University,2024,Fall,Readmit,false,Transcript,WA,,social services,2019,4,Apr,1,0,0,0,0,0,0,0
Central Washington University,2024,Fall,First Year,false,College Fair,WA,,pre medicine,2019,4,Apr,0,1,0,0,0,0,0,0
Central Washington University,2024,Fall,First Year,false,College Board,WA,,accounting,2019,4,Apr,0,1,0,0,0,0,0,0
Central Washington University,2024,Fall,Transfer,false,RFI Forms - All,,,interdisciplinary social science,2019,4,Apr,0,1,0,0,0,0,0,0
Central Washington University,2024,Fall,Transfer,false,RFI Forms - All,,,information technology management bas information technology,2019,4,Apr,0,0,1,1,0,0,0,0
Central Washington University,2024,Fall,Readmit,false,Application,WA,,interdisciplinary social science,2019,4,Apr,0,1,0,0,0,0,0,0
Central Washington University,2024,Fall,First Year,false,Cappex,,,geography giscience,2019,4,Apr,1,0,0,0,0,0,0,0
Central Washington University,2024,Fall,First Year,false,Campus Event,,,,2019,4,Apr,0,1,0,0,0,0,0,0
Central Washington University,2024,Fall,First Year,false,Cappex,WA,,chemistry,2019,4,Apr,0,1,0,0,0,0,0,0
Central Washington University,2024,Fall,First Year,false,Application,WA,,aviation pilot,2019,4,Apr,0,1,0,0,0,0,0,0
Central Washington University,2024,Fall,Transfer,false,RFI Forms - All,,,,2019,4,Apr,0,1,0,0,0,0,0,0
Central Washington University,2024,Fall,Transfer,false,Application,WA,,information technology management administrative management,2019,5,May,0,0,1,1,0,0,0,0
Central Washington University,2024,Fall,Transfer,false,Royall,WA,,business administration bsba finance,2019,5,May,1,0,0,0,0,0,0,0
Central Washington University,2024,Fall,Transfer,false,Royall,,,pre nursing public health,2019,5,May,1,0,0,0,0,0,0,0
Central Washington University,2024,Fall,Transfer,false,Application,WA,,elementary education baed,2019,5,May,1,0,0,0,0,0,0,0
Central Washington University,2024,Fall,First Year,false,Royall,WA,,information technology management bas information technology,2019,5,May,2,0,0,0,0,0,0,0
Central Washington University,2024,Fall,First Year,false,Royall,WA,,,2019,5,May,4,0,0,0,0,0,0,0
Central Washington University,2024,Fall,First Year,false,Cappex,WA,,english language arts teaching,2019,5,May,1,0,0,0,0,0,0,0
Central Washington University,2024,Fall,Transfer,false,Royall,WA,,music education bm instrumental music,2019,5,May,1,0,0,0,0,0,0,0
Central Washington University,2024,Fall,Transfer,false,Application,WA,,business administration bsba supply chain management,2019,5,May,1,0,0,0,0,0,0,0
