client_name,group_name,subgroup_name,product_name,platform_campaign_name,campaign_name,creative,ad_description,image_url,ad_url,preview_url,ad_group,day,impressions,clicks,direct_conversions,view_through_conversions,in_platform_leads,total_conversions,cost,budget,video_starts,video_completions,video_avg
Central Washington University,UG,UG,YouTube,Central Washington University - UG - YouTube - Awareness,Central Washington University - UG - YouTube - Awareness,Unknown - Unknown - 20917700864,,,,,Central Washington University - UG - YouTube - Awareness - Instream (Skippable),2024-02-02,6763,2,0,0,0,0,,88.19,6734,4202,62.103
Central Washington University,UG,UG,YouTube,Central Washington University - UG - YouTube - Awareness,Central Washington University - UG - YouTube - Awareness,Unknown - Unknown - 20921238679,,,,,Central Washington University - UG - YouTube - Awareness - Discovery (In-Feed),2024-02-03,38345,0,0,0,0,0,,63.96,592,94,1.591
Central Washington University,UG,UG,YouTube,Central Washington University - UG - YouTube - Awareness,Central Washington University - UG - YouTube - Awareness,Unknown - Unknown - 20917700864,,,,,Central Washington University - UG - YouTube - Awareness - Instream (Skippable),2024-02-03,6977,1,0,0,0,0,,87.36,6946,4389,62.907
Central Washington University,UG,UG,YouTube,Central Washington University - UG - YouTube - Awareness,Central Washington University - UG - YouTube - Awareness,Unknown - Unknown - 20921238679,,,,,Central Washington University - UG - YouTube - Awareness - Discovery (In-Feed),2024-02-04,38835,0,0,0,0,0,,62.62,625,124,1.635
Central Washington University,UG,UG,YouTube,Central Washington University - UG - YouTube - Awareness,Central Washington University - UG - YouTube - Awareness,Unknown - Unknown - 20917700864,,,,,Central Washington University - UG - YouTube - Awareness - Instream (Skippable),2024-02-04,7100,1,0,0,0,0,,88.36,7069,4372,61.535
Central Washington University,UG,UG,YouTube,Central Washington University - UG - YouTube - Awareness,Central Washington University - UG - YouTube - Awareness,Unknown - Unknown - 20921238679,,,,,Central Washington University - UG - YouTube - Awareness - Discovery (In-Feed),2024-02-05,36726,0,0,0,0,0,,62.08,633,139,1.745
Central Washington University,UG,UG,YouTube,Central Washington University - UG - YouTube - Awareness,Central Washington University - UG - YouTube - Awareness,Unknown - Unknown - 20917700864,,,,,Central Washington University - UG - YouTube - Awareness - Instream (Skippable),2024-02-05,6863,1,0,0,0,0,,88.97,6816,4243,61.722
Central Washington University,UG,UG,YouTube,Central Washington University - UG - YouTube - Awareness,Central Washington University - UG - YouTube - Awareness,Unknown - Unknown - 20921238679,,,,,Central Washington University - UG - YouTube - Awareness - Discovery (In-Feed),2024-02-06,34474,0,0,0,0,0,,64.87,559,125,1.656
Central Washington University,UG,UG,YouTube,Central Washington University - UG - YouTube - Awareness,Central Washington University - UG - YouTube - Awareness,Unknown - Unknown - 20917700864,,,,,Central Washington University - UG - YouTube - Awareness - Instream (Skippable),2024-02-06,6069,1,0,0,0,0,,86.44,6048,3779,62.004
Central Washington University,UG,UG,YouTube,Central Washington University - UG - YouTube - Awareness,Central Washington University - UG - YouTube - Awareness,Unknown - Unknown - 20921238679,,,,,Central Washington University - UG - YouTube - Awareness - Discovery (In-Feed),2024-02-07,33968,0,0,0,0,0,,63.69,523,121,1.584
Central Washington University,UG,UG,YouTube,Central Washington University - UG - YouTube - Awareness,Central Washington University - UG - YouTube - Awareness,Unknown - Unknown - 20917700864,,,,,Central Washington University - UG - YouTube - Awareness - Instream (Skippable),2024-02-07,6404,0,0,0,0,0,,87.25,6382,4032,62.523
Central Washington University,UG,UG,YouTube,Central Washington University - UG - YouTube - Awareness,Central Washington University - UG - YouTube - Awareness,Unknown - Unknown - 20921238679,,,,,Central Washington University - UG - YouTube - Awareness - Discovery (In-Feed),2024-02-08,34352,0,0,0,0,0,,62.67,554,127,1.636
